Epoch: [108][30/53]	Loss 0.9792 (1.0282)
Epoch: [108][40/53]	Loss 1.1240 (1.0279)
Epoch: [108][50/53]	Loss 1.0267 (1.0121)
Epoch: [109][0/53]	Loss 1.2248 (1.2248)
Epoch: [109][10/53]	Loss 1.1776 (1.0743)
Epoch: [109][20/53]	Loss 0.8153 (1.0754)
Epoch: [109][30/53]	Loss 1.2059 (1.0797)
Epoch: [109][40/53]	Loss 1.0112 (1.0842)
Epoch: [109][50/53]	Loss 0.7509 (1.0922)
Epoch: [110][0/53]	Loss 0.8968 (0.8968)
Epoch: [110][10/53]	Loss 1.0331 (1.0600)
Epoch: [110][20/53]	Loss 0.7602 (1.0310)
Epoch: [110][30/53]	Loss 0.9924 (1.0378)
Epoch: [110][40/53]	Loss 1.0028 (1.0649)
Epoch: [110][50/53]	Loss 0.9153 (1.0607)
Epoch: [111][0/53]	Loss 1.1849 (1.1849)
Epoch: [111][10/53]	Loss 1.5867 (1.8141)
Epoch: [111][20/53]	Loss 1.0907 (1.7298)
Epoch: [111][30/53]	Loss 1.3252 (1.6076)
Epoch: [111][40/53]	Loss 1.0955 (1.4953)
Epoch: [111][50/53]	Loss 1.2306 (1.4367)
Epoch: [112][0/53]	Loss 1.1588 (1.1588)
Epoch: [112][10/53]	Loss 1.3234 (1.1050)
Epoch: [112][20/53]	Loss 1.4034 (1.1163)
Epoch: [112][30/53]	Loss 1.4694 (1.1427)
Epoch: [112][40/53]	Loss 1.9619 (1.1423)
Epoch: [112][50/53]	Loss 1.0158 (1.1289)
Epoch: [113][0/53]	Loss 1.0412 (1.0412)
Epoch: [113][10/53]	Loss 0.9577 (1.0701)
Epoch: [113][20/53]	Loss 1.1771 (1.0545)
